SID,NUMBER,BASIN,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,YEAR,MONTH,DECADE,HAS_INTENSITY
2000088N08090,21,North India,2000-03-27 12:00:00,Tropical,7.5,90.0,25.0,1004.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-27 15:00:00,Tropical,8.0,89.4,25.0,1005.5,2000,3,2000,True
2000088N08090,21,North India,2000-03-27 18:00:00,Tropical,8.5,89.0,25.0,1006.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-27 21:00:00,Tropical,9.0,89.0,25.0,1005.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-28 00:00:00,Tropical,9.5,89.0,25.0,1004.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-28 03:00:00,Tropical,10.0,88.5,25.0,1006.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-28 06:00:00,Tropical,10.7,88.2,25.0,1005.5,2000,3,2000,True
2000088N08090,21,North India,2000-03-28 09:00:00,Tropical,11.5,88.0,25.0,1004.5,2000,3,2000,True
2000088N08090,21,North India,2000-03-28 12:00:00,Tropical,12.0,88.0,25.0,1004.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-28 15:00:00,Tropical,12.0,88.0,25.0,1004.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-28 18:00:00,Tropical,12.0,88.0,25.0,1004.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-28 21:00:00,Tropical,12.2,88.0,25.0,1004.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-29 00:00:00,Tropical,12.5,88.0,25.0,1004.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-29 03:00:00,Tropical,13.0,88.0,30.0,1002.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-29 06:00:00,Tropical,13.5,88.0,30.0,1002.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-29 09:00:00,Tropical,13.7,88.2,32.5,1000.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-29 12:00:00,Tropical,14.0,88.5,35.0,998.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-29 15:00:00,Tropical,14.5,89.0,35.0,1000.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-29 18:00:00,Tropical,15.0,89.5,35.0,1000.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-29 21:00:00,Tropical,15.0,89.5,45.0,1000.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-30 00:00:00,Tropical,15.0,89.5,45.0,998.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-30 03:00:00,Tropical,15.5,90.0,45.0,998.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-30 06:00:00,Tropical,15.5,90.0,35.0,1000.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-30 09:00:00,Tropical,15.0,90.0,30.0,1000.0,2000,3,2000,True
2000088N08090,21,North India,2000-03-30 12:00:00,Tropical,16.0,90.5,25.0,1002.0,2000,3,2000,True
2000138N16119,30,Western North Pacific,2000-05-17 06:00:00,Tropical,16.1,118.8,,1002.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-17 09:00:00,Tropical,16.1,119.3,,1002.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-17 12:00:00,Mixture,16.0,119.5,,1002.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-17 15:00:00,Mixture,16.0,119.8,,1002.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-17 18:00:00,Tropical,16.0,120.2,,1002.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-17 21:00:00,Tropical,16.0,120.7,,1002.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-18 00:00:00,Tropical,16.2,121.2,,1002.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-18 03:00:00,Tropical,17.0,121.8,,1001.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-18 06:00:00,Tropical,18.0,122.5,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-18 09:00:00,Tropical,18.6,123.0,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-18 12:00:00,Tropical,19.2,123.4,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-18 15:00:00,Tropical,19.8,123.8,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-18 18:00:00,Tropical,20.3,124.3,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-18 21:00:00,Tropical,20.7,124.8,,999.3,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-19 00:00:00,Tropical,21.1,125.4,35.0,998.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-19 03:00:00,Tropical,21.6,126.0,38.4,995.7,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-19 06:00:00,Tropical,22.2,126.7,40.0,994.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-19 09:00:00,Tropical,22.7,127.6,40.0,994.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-19 12:00:00,Tropical,23.3,128.5,40.0,994.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-19 15:00:00,Tropical,24.0,129.6,40.0,992.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-19 18:00:00,Tropical,24.8,131.0,45.0,990.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-19 21:00:00,Tropical,25.6,132.8,40.0,992.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-20 00:00:00,Tropical,26.5,134.9,40.0,994.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-20 03:00:00,Tropical,27.3,137.1,,995.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-20 06:00:00,Mixture,28.2,139.0,,996.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-20 09:00:00,Extratropical,29.3,140.6,,998.3,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-20 12:00:00,Extratropical,30.3,142.0,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-20 15:00:00,Extratropical,30.8,143.5,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-20 18:00:00,Extratropical,31.3,144.8,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-20 21:00:00,Extratropical,32.3,145.8,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-21 00:00:00,Extratropical,33.5,146.8,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-21 03:00:00,Extratropical,34.2,148.2,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-21 06:00:00,Extratropical,34.7,149.8,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-21 09:00:00,Extratropical,35.2,151.7,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-21 12:00:00,Extratropical,35.8,153.6,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-21 15:00:00,Extratropical,36.4,154.9,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-21 18:00:00,Extratropical,37.1,156.2,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-21 21:00:00,Extratropical,38.0,158.2,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-22 00:00:00,Extratropical,38.8,160.3,,1000.0,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-22 03:00:00,Extratropical,39.4,161.9,,998.3,2000,5,2000,True
2000138N16119,30,Western North Pacific,2000-05-22 06:00:00,Extratropical,39.8,163.4,,996.0,2000,5,2000,True
